ID,Requirement Text
510.5.2,The NYC CVPD performance monitoring subsystem shall utilize the post-processed data and transmit it to the RDE.
510.6.1,The NYC CVPD performance monitoring subsystem shall collect and post-process the volume counts from temporary automatic traffic recording (ATR) machines.
510.7.1,The NYC CVPD performance monitoring subsystem shall compare and post-process the travel time from MiM RFID tag readers.
510.7.3,The NYC CVPD performance monitoring subsystem shall compare and post-process the travel time from MTA bus GPS datasets.
510.8.1,"The NYC CVPD performance monitoring subsystem shall generate system performance reports on the number of active, inactive, and offline ASDs and RSUs in the field by time of day."
510.8.2,The NYC CVPD performance monitoring subsystem shall generate system performance reports on the number of CV applications in operation and warnings produced by time of day.
510.8.3,The NYC CVPD performance monitoring subsystem shall generate system performance reports on the network-wide system safety and mobility measurements. (Note: the reports shall include the crash frequencies and average speeds by peak period.)
510.9.1,The NYC CVPD performance monitoring subsystem shall provide obfuscated datasets without PII to the USDOT Independent Evaluator for additional evaluation.
510.10.2,The ASD shall have the capability of operating in active mode and recording normal driver behaviors and reactions while notifying the user of the perceived warnings.
501.2.1,The ASD shall include a general purpose event recording application.
501.2.1.1,The ASD shall include a rotating 5 minute log of the raw data listed in Table G-4.
501.2.1.2,"Once the log has accumulated 5 minutes of data, it shall replace the oldest data with new data such that it always keeps the most recent 5 minutes of data to a 100 ms accuracy."
501.2.1.3,Each log entry shall include a UTC time stamp accurate to 10 milliseconds.
501.2.1.4,Each log entry shall include the BSM data for the host vehicle regardless of whether the data has changed.
501.2.1.5,"Each log entry shall include the peak accelerometer values since last entry. Clarification: accelerometer entries are added to the log whenever the value changes or at 1 second intervals whichever is shorter but not more rapidly than 10 times per second. Thus, the accelerometer entries show the times at which the value changed with a time stamp but no values are lost to the resolution of 1 second."
501.2.1.6,Each log entry shall include the BSM data for all vehicles that are within a configurable distance (VDIS) from the host vehicle. (Clarification: typical values are expected to be 0-50 meters.)
501.2.1.7,A log entry shall be made for each SPaT and MAP message received from two nearest RSUs.
501.2.2,The ASD shall continuously monitor the location of the host vehicle as described in SAE J2945/1.
501.3.1,The ASD shall collect log entries into an event record to describe vehicle actions surrounding a CV application event.
501.3.2,The ASD shall log the SAE J2735 BSMs received at 100 millisecond interval before and after an event.
501.3.3,"The ASD shall log the information 5-300 seconds (configurable by type of event, time period, and resolution) before and 20-50 after the event."
501.3.4,The ASD shall collect less detailed CV probe data for mobility data collection. (See ASD Demonstration Procurement Specification Version 2.2 Appendix L Mobility Data Section b for clarification.)
